title,angajator,domeniu,tip_job,nivel_job,orase,actualizat_la,remote_work
Consultant Servicii cu Romana & Maghiara - Brasov ,Computer Generated Solutions Romania,"['Altele', 'Customer support - Client service', 'Telecomunicatii']",full-time ,Student/Absolvent,['Brasov'],09.04.2024,  On-site
Tehnician Mecanic,Randstad România,['Productie'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Online Casino Dealer (8 ore/ 4 ore),Randstad România,"['Altele', 'Customer support - Client service', 'Radio-Televiziune']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Game Presenter fara experienta (8 ore/ 4 ore),Randstad România,"['Altele', 'Customer support - Client service', 'Radio-Televiziune']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Game Presenter PART TIME (3 zile lucratoare),Randstad România,"['Altele', 'Vanzari']",part-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Sofer Profesionist Comunitate,Working4U Exclusive,['Transporturi'],full-time ,1 - 5 ani experienta,"['Strainatate', ' Timisoara']",09.04.2024,  On-site
Angajăm CUSTOMER SUPPORT SPECIALIST WITH FOREIGN LANGUAGES,GiGroup Romania,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
RESPONSABIL executie/derulare contracte – agricultura,ABC Human Capital,['Agricultura'],full-time ,1 - 5 ani experienta,"['Adjud', ' BUCURESTI']",09.04.2024,  On-site
Area Sales Manager - Agribusiness,ABC Human Capital,"['Agricultura', 'Vanzari']",full-time ,1 - 5 ani experienta,"['Braila', ' Galati', ' Slobozia']",09.04.2024,  On-site
National Sales Manager Cluj- HVAC,Randstad România,"['Constructii', 'Inginerie']",full-time ,peste 5 ani experienta,"['Alba Iulia', ' Cluj Napoca', ' Sibiu']",09.04.2024,  On-site
Sales Manager,Salesianer,['Vanzari'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Lean Management Responsible ,Salesianer,['Productie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Sales Support ,Salesianer,['Vanzari'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
ISO Responsible,Salesianer,['Productie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
IT Project Support,Salesianer,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
INGINER VANZARI,EUROFIT - Voyatzoglou Romania SRL,['Vanzari'],full-time ,peste 5 ani experienta,['Popesti Leordeni'],09.04.2024,  On-site
Customer Service ,Salesianer,['Customer support - Client service'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Inginer in industria alimentara - Pitesti,Bimbo Romania (Vel Pitar),"['Inginerie', 'Productie']",full-time ,1 - 5 ani experienta,['Pitesti'],09.04.2024,  On-site
Director Fabrica,Salesianer,['Productie'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Product Quality Engineer,Schurter Electronic Components,"['Engineering', 'Production']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Ilfov', ' Ploiesti']",09.04.2024,  On-site
Vanzator Domnesti (F/M),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['Ilfov'],09.04.2024,  On-site
"Vanzator Magurele, Atomistilor (F/M)",Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['Ilfov'],09.04.2024,  On-site
"Vanzator Magurele, Atomistilor (F/M)",Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['Ilfov'],09.04.2024,  On-site
Lucrator Depozit Pregatire Marfa Nedelea (f/m),Lidl Romania,"['Achizitii - Logistica - Aprovizionare', 'Altele', 'Vanzari']",full-time ,0 - 1 an experienta,['Ploiesti'],09.04.2024,  On-site
"Vanzator Bacau, calea Romanului (f/m)",Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Bacau'],09.04.2024,  On-site
"Vanzator Barlad, Republicii (f/m)",Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Barlad'],09.04.2024,  On-site
"Personal de Serviciu Braila, calea Galati (f/m)",Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Braila'],09.04.2024,  On-site
Payroll Specialist,leoHR,['Human Resources - Psychology'],full-time,1 - 5 years of experience,['Ploiesti'],09.04.2024,  Hybrid 
Linux Systems Administrator,Dow Jones,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Iasi']",09.04.2024,  Remote 
Senior Drupal Software Engineer,Dow Jones,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Iasi']",09.04.2024,  Remote 
Senior .NET Developer,Dow Jones,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Iasi']",09.04.2024,  Remote 
Senior Data Engineer,Dow Jones,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca', ' Iasi']",09.04.2024,  Remote 
Manager Agentie - Constanta,Sameday Courier,['Achizitii - Logistica - Aprovizionare'],full-time ,Manager,['Constanta'],09.04.2024,  Hybrid 
Commodity Buyer Safety (F/M) ,Renault Group Romania,"['Achizitii - Logistica - Aprovizionare', 'Import-Export', 'Retail - Comert']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Compliance Officer,IHM Total Consult Romania,['Juridic'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Interior Designer (Spatiile Comerciale) - Proiectant 3D,EUROFIT - Voyatzoglou Romania SRL,['Inginerie'],full-time ,1 - 5 ani experienta,['Popesti Leordeni'],09.04.2024,  On-site
Operator Facturare,Randstad România,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Business System Analyst,Euro-Testing Software Solutions,['Banks - Financial Institutions'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Junior Accountant - Bucuresti,Computer Generated Solutions Romania,['Accounting - Finance'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Market Data Software Developer,Brainspotting,['IT Software'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Inginer automatist IT,Electromontaj,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Sales Business Development Manager HVAC,Randstad România,"['Constructii', 'Inginerie']",full-time ,peste 5 ani experienta,"['Alba Iulia', ' Cluj Napoca', ' Sibiu']",09.04.2024,  On-site
Operator Abkant,Personnel Outsourcing,"['Altele', 'Constructii', 'Productie']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Tehnician-mecanic Agora Robotics,SIMTEL Team,"['Inginerie', 'Productie']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Embedded Electronics Engineer Agora Robotics,SIMTEL Team,"['Inginerie', 'IT Hardware', 'IT Software']",full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
HR & Workplace Coordinator,Brainspotting,['Human Resources - Psychology'],full-time,Manager,['BUCHAREST'],09.04.2024,  Hybrid 
Hr Recrutare - Talent Aquisition Specialist - Bacau,Electromontaj,"['Administratie - Stiinte politice', 'Resurse Umane - Psihologie']",full-time ,1 - 5 ani experienta,['Bacau'],09.04.2024,  On-site
Working Student - IT Specialist,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,Student/Graduate,['BUCHAREST'],09.04.2024,  On-site
"Industrial Engineer, CljP",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
Support Engineer - IBM ELM (Jazz) - IT (TM),Continental,['IT Software'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
"Vanzator Botosani, str. Iasului (f/m)",Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Botosani'],09.04.2024,  On-site
Vanzator Ciurea Iasi (f/m),Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Iasi'],09.04.2024,  On-site
Vanzator Vasile Lupu Iasi (f/m),Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Iasi'],09.04.2024,  On-site
"Personal de Serviciu 4h Iasi, blv. Chimiei (f/m)",Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Iasi'],09.04.2024,  On-site
"Vanzator Iasi, Bucium (f/m)",Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Iasi'],09.04.2024,  On-site
Contabil pentru ead.ro,WEDOHR,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Arhitect pentru picktwo interior design studio,WEDOHR,['Arhitectura - Design - Proiectare'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Graphic designer pentru 441designstudio,WEDOHR,"['Arhitectura - Design - Proiectare', 'Publicitate - Agentii publicitate']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Events & Festivals Manager,BAT Romania ,['Marketing'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
QA Automation Engineer,Evolve today,['IT Software'],full-time,peste 5 years of experience,['Brasov'],09.04.2024,  Remote 
Junior Finance Specialist - Part time - Cluj Napoca,Randstad România,"['Banci', 'Contabilitate Finante']",part-time ,Student/Absolvent,['Cluj Napoca'],09.04.2024,  Hybrid 
Angajăm Stivuitorist,GiGroup Romania,['Productie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
INGINER PROIECTANT,EUROFIT - Voyatzoglou Romania SRL,['Inginerie'],full-time ,1 - 5 ani experienta,['Popesti Leordeni'],09.04.2024,  On-site
Operations Manager with French,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Customer Services Senior Agent with Spanish,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Customer Services Agent with Spanish,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
DevSecOps Engineer,Ford Business Solutions Romania,"['IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Data Loss Prevention Intern,Ford Business Solutions Romania,"['IT Hardware', 'IT Software']",stagiu de practica ,Student/Absolvent,['BUCURESTI'],09.04.2024,  Hybrid 
Angajăm Stivuitorist,GiGroup Romania,['Productie'],full-time ,1 - 5 ani experienta,['Ghimbav'],09.04.2024,  On-site
Quality Business Development Analyst with French,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Network Security Engineer,Ford Business Solutions Romania,"['IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Collection Agent with French,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Originations Supervisor with Spanish,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Network Security Manager,Ford Business Solutions Romania,"['IT Hardware', 'IT Software', 'Management - Consulting']",full-time,Manager,['BUCHAREST'],09.04.2024,  Hybrid 
Customer Services Supervisor with French,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Collection Supervisor with Spanish,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Collection Supervisor with French,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Customer Services Agent with French ,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Customer Services & Leasing Supervisor with Italian ,Ford Business Solutions Romania,"['Contabilitate Finante', 'Customer support - Client service']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Conference Team Leader,Ford Business Solutions Romania,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Transition Lead with English,Ford Business Solutions Romania,['Management - Consulting'],full-time,Manager,['BUCHAREST'],09.04.2024,  Hybrid 
Project Analyst,Ford Business Solutions Romania,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Operations Manager with German,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service', 'Management - Consulting']",full-time,Manager,['BUCHAREST'],09.04.2024,  Hybrid 
Business Analyst,Ford Business Solutions Romania,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Quality Efficiency & Digitalization Specialist with German,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Major Daily Retail Agent with German,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Corporate Cellular Analyst,Ford Business Solutions Romania,"['IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Dealer Services Agent with German,Ford Business Solutions Romania,"['Accounting - Finance', 'Customer Support - Client Service']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
RESPONSABIL executie/derulare contracte - agribusiness,ABC Human Capital,"['Achizitii - Logistica - Aprovizionare', 'Customer support - Client service', 'Retail - Comert']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
 INGINER ENERGETICIAN - RESPONSABIL CONTRACTE CLIENȚI ȘI FACTURARE,Apa Nova Bucuresti,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
INGINER (PROFIL INSTALAȚII),Apa Nova Bucuresti,['Inginerie'],full-time ,1 - 5 ani experienta,['Ilfov'],09.04.2024,  On-site
GESTIONAR,Apa Nova Bucuresti,"['Achizitii - Logistica - Aprovizionare', 'Secretariat - Administrativ']",full-time ,1 - 5 ani experienta,['Ilfov'],09.04.2024,  On-site
CONSULTANT PRIMIRE CLIENȚI,Apa Nova Bucuresti,['Customer support - Client service'],full-time ,0 - 1 an experienta,['Ilfov'],09.04.2024,  On-site
CONSULTANT CORESPONDENȚĂ CLIENȚI,Apa Nova Bucuresti,['Customer support - Client service'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
ASISTENT DIRECTOR,Apa Nova Bucuresti,['Secretariat - Administrativ'],full-time ,0 - 1 an experienta,['Ilfov'],09.04.2024,  On-site
ELECTRICIAN,Apa Nova Bucuresti,"['Altele', 'Constructii', 'Inginerie']",full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Giurgiu', ' Ilfov']",09.04.2024,  On-site
SOFER DE AUTOTURISME SI CAMIONETE,Apa Nova Bucuresti,['Transporturi'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Business Development Representative Supermarket,PepsiCo,['Vanzari'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
INSTALATOR APA CANAL,Apa Nova Bucuresti,"['Constructii', 'Inginerie']",full-time ,0 - 1 an experienta,"['BUCURESTI', ' Ilfov']",09.04.2024,  On-site
AV Engineer,Ford Business Solutions Romania,"['IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Angajăm Financial Client Services Specialist with German,GiGroup Romania,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
HR Admin Internship @ING Hubs Romania,ING Hubs Romania,"['Human Resources - Psychology', 'Administrative Assistance']",part-time,Student/Graduate,['BUCHAREST'],09.04.2024,  Hybrid 
Angajăm TRAVEL AND EXPENSES SPECIALIST,GiGroup Romania,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
Controlor Produs Finit,Working4U Exclusive,"['Controlul calitatii', 'Productie']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Inginer Ofertare,IHM Total Consult Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Responsabil Magazin Online – Specific Tehnic,Working4U Exclusive,"['Customer support - Client service', 'Internet - eCommerce']",full-time ,1 - 5 ani experienta,['Alba Iulia'],09.04.2024,  On-site
Fochist Albalact Oiejdea,Lactalis Group,"['Inginerie', 'Productie']",full-time ,1 - 5 ani experienta,"['Aiud', ' Alba Iulia']",09.04.2024,  On-site
Inginer calcul termic,Akkodis Romania,['Inginerie'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Operator Reglor,TE Connectivity Sensor Solutions,['Productie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
Project Manager for electric electronic systems,Akkodis Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Sef Echipa Electricieni Proiecte Fotovoltaice Alba-Iulia,Working4U Exclusive,"['Arhitectura - Design - Proiectare', 'Constructii', 'Inginerie']",full-time ,1 - 5 ani experienta,['Alba Iulia'],09.04.2024,  On-site
Mechanical/Plumbing Cost Estimator - Civil Works,Working4U Exclusive,"['Constructii', 'Inginerie']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Indirect Taxation and Accounting Manager,BAT Romania ,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['Ploiesti'],09.04.2024,  On-site
Accountant,BAT Romania ,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['Ploiesti'],09.04.2024,  On-site
Construction Project Planner - Civil Works,Working4U Exclusive,['Constructii'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Consilier Creditare PF - Agentia Deva,Raiffeisen Bank,"['Asigurari - Intermedieri financiare', 'Banci', 'Vanzari']",full-time ,0 - 1 an experienta,['Deva'],09.04.2024,  On-site
Consilier Creditare PF - Agentia Lipova,Raiffeisen Bank,"['Asigurari - Intermedieri financiare', 'Banci', 'Vanzari']",full-time ,0 - 1 an experienta,['Lipova'],09.04.2024,  On-site
Consilier Creditare PF - Agentia Lugoj,Raiffeisen Bank,"['Asigurari - Intermedieri financiare', 'Banci', 'Vanzari']",full-time ,0 - 1 an experienta,['Lugoj'],09.04.2024,  On-site
Logistics Trainee with English (Full Time),Michelin Romania,['Acquisitions - Logistics - Supplies'],full-time,Student/Graduate,['BUCHAREST'],09.04.2024,  Hybrid 
Tourism Product Manager,Lugera & Makler,['Turism'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Technical TENDER Engineer - Civil Works,Working4U Exclusive,['Constructii'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Consultant Turism,Lugera & Makler,['Turism'],full-time ,0 - 1 an experienta,"['BUCURESTI', ' Constanta', ' Craiova']",09.04.2024,  On-site
Office Manager - Impact Hub Bucuresti,MindOFF,['Secretariat - Administrativ'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Finance Business Manager,Siemens Energy,['Accounting - Finance'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Software Product Owner - Sibiu AN R&D (Craiova),Continental,['Engineering'],full-time,1 - 5 years of experience,['Sibiu'],09.04.2024,  On-site
Networking Product Specialist- Sibiu AN R&D,Continental,['Engineering'],full-time,1 - 5 years of experience,['Sibiu'],09.04.2024,  On-site
"Adjunct Manager Magazin Magurele, Atomistilor",Lidl Romania,['Vanzari'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Responsabil de tura Constanta Baba Novac (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['Constanta'],09.04.2024,  On-site
Vanzator Tulcea Babadag (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['Tulcea'],09.04.2024,  On-site
"Vanzator Iasi, str. Primaverii (f/m)",Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Iasi'],09.04.2024,  On-site
"Personal de Serviciu Iasi, str. Primavarii (f/m)",Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Iasi'],09.04.2024,  On-site
Personal de Serviciu Husi (f/m),Lidl Romania,['Altele'],full-time ,0 - 1 an experienta,['Husi'],09.04.2024,  On-site
Specialist siguranta alimentara (f/m),Lidl Romania,"['Controlul calitatii', 'Productie']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Product Manager (B2C) ,ENGIE,['Marketing'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Analist ANRE Interaction (contract determinat 1 an),ENGIE,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Consilier Vanzari Energie si Servicii (contract determinat 1 an) ,ENGIE,['Customer support - Client service'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior Business Developer/ Project Manager (Renewable Energy),ENGIE,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Business Developer (Renewable Energy),ENGIE,['Inginerie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Business Development Manager (Payroll Services),Lugera & Makler,"['Contabilitate Finante', 'Resurse Umane - Psihologie']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Specialist SSM,Lugera & Makler,['Inginerie'],full-time ,1 - 5 ani experienta,['Slatina'],09.04.2024,  On-site
Tehnician Mecanic,Frigoglass,['Productie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
Inginer Ofertare,Lugera & Makler,['Vanzari'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Remote 
Manipulant Marfa,Compania Indiilor Orientale (CIO),"['Achizitii - Logistica - Aprovizionare', 'Productie']",full-time ,0 - 1 an experienta,"['BUCURESTI', ' Ilfov', ' Popesti Leordeni']",09.04.2024,  On-site
Contabil Senior - companie de consultanta ,BIA Human Capital Solutions,"['Achizitii - Logistica - Aprovizionare', 'Altele', 'Contabilitate Finante']",full-time ,1 - 5 ani experienta,"['BUCURESTI', ' Ilfov', ' Otopeni']",09.04.2024,  On-site
Asistent Contabil,Lagardère Travel Retail Romania,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Asistent Manager/ Secretariat,KreativeHR Services,['Secretariat - Administrativ'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Inginer Ofertare (Instalatii Electrice sau HVAC),Evolve today,['Inginerie'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Șef șantier (Inginer Instalatii),Evolve today,"['Constructii', 'Inginerie']",full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Inginer procese materiale Slatina,Pirelli,"['Chimie - Petrochimie', 'Inginerie', 'Productie']",full-time ,1 - 5 ani experienta,['Slatina'],09.04.2024,  On-site
Angajăm Tehnician Service - Echipamente Frigorifice,GiGroup Romania,['Productie'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
MS SQL Developer - Asigurari - Sector 1,Personnel Outsourcing,"['Altele', 'Asigurari - Intermedieri financiare', 'IT Hardware']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Agent Distributie (Logistic Representative Ploiesti),BAT Romania ,"['Achizitii - Logistica - Aprovizionare', 'Marketing']",full-time ,1 - 5 ani experienta,['Ploiesti'],09.04.2024,  On-site
Business Developer – solutii eficienta energetica,ABC Human Capital,['Inginerie'],full-time ,1 - 5 ani experienta,"['Baia Mare', ' BUCURESTI']",09.04.2024,  On-site
Angajăm Picker,GiGroup Romania,['Productie'],full-time ,0 - 1 an experienta,['Clinceni'],09.04.2024,  On-site
Angajam Operatori CNC,Trenkwalder Romania,['Productie'],full-time ,1 - 5 ani experienta,['Sibiu'],09.04.2024,  On-site
Trade Activator-Philip Morris-Sighetu Marmatiei,INTERBRANDS ORBICO,"['Achizitii - Logistica - Aprovizionare', 'Marketing', 'Vanzari']",full-time ,1 - 5 ani experienta,['Sighetu Marmatiei'],09.04.2024,  On-site
SAP CO Consultant (m/f/d),bitExpert,['IT Software'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Executive Assistant with Italian ,Accenture,"['Customer Support - Client Service', 'Administrative Assistance']",full-time,1 - 5 years of experience,['Brasov'],09.04.2024,  Hybrid 
Electrician Mentenanta Specializata Echipamente IT,Enel Romania,['Inginerie'],full-time ,0 - 1 an experienta,"['BUCURESTI', ' Ilfov']",09.04.2024,  On-site
Inginer Mentenanta Specializata,Enel Romania,['Inginerie'],full-time ,0 - 1 an experienta,"['Constanta', ' Tulcea']",09.04.2024,  On-site
Operator back office cu limba italiana si engleza ,Randstad România,['Customer support - Client service'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Storage & Backup Administrator,Hunt Recruitment ,"['IT Hardware', 'IT Software']",full-time ,peste 5 ani experienta,['Alt oras'],09.04.2024,  Remote 
DevOps Engineer Atlassian,Hunt Recruitment ,['IT Software'],full-time ,peste 5 ani experienta,['Alt oras'],09.04.2024,  Remote 
Senior Expert Destination network acquisitor,Hunt Recruitment ,['Vanzari'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior Expert Dispatching,Hunt Recruitment ,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Accountant,Evolve today,['Accounting - Finance'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Vanzator Cernica (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Brand Executive,BAT Romania ,['Marketing'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Sales Representative,Randstad România,['Vanzari'],full-time ,1 - 5 ani experienta,['Iasi'],09.04.2024,  Hybrid 
Construction Cost Estimator - Civil Works,Working4U Exclusive,['Constructii'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Content Designer,"IBM – Marketing, Communcations and Citizenship",['Marketing'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Consultant suport,Wizrom Software SRL,"['Contabilitate Finante', 'Customer support - Client service', 'IT Software']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Angajăm Key Account Manager,GiGroup Romania,['Vanzari'],full-time ,1 - 5 ani experienta,['Cluj Napoca'],09.04.2024,  On-site
